image_id,send_time,ack_receive_time,RTT_ack,network_delay,preprocess_ms
run_20260504_193111_img_0204,1777903582.6136637,1777903583.5469787,0.9333150386810303,0.46665751934051514,138.166
run_20260504_193111_img_0205,1777903583.6886766,1777903584.4143646,0.7256879806518555,0.36284399032592773,135.578
run_20260504_193111_img_0206,1777903584.5525992,1777903585.2840157,0.7314164638519287,0.36570823192596436,132.36
run_20260504_193111_img_0207,1777903585.4210835,1777903586.1378458,0.7167623043060303,0.35838115215301514,131.542
run_20260504_193111_img_0208,1777903586.278497,1777903587.534827,1.2563300132751465,0.6281650066375732,134.477
run_20260504_193111_img_0209,1777903587.6810143,1777903590.5288148,2.8478004932403564,1.4239002466201782,138.558
run_20260504_193111_img_0210,1777903590.6699703,1777903591.9811463,1.311176061630249,0.6555880308151245,134.388
run_20260504_193111_img_0211,1777903592.1196449,1777903594.1447885,2.025143623352051,1.0125718116760254,132.557
run_20260504_193111_img_0212,1777903594.2801554,1777903595.2561014,0.9759459495544434,0.4879729747772217,129.957
run_20260504_193111_img_0213,1777903595.3914425,1777903596.4246237,1.0331811904907227,0.5165905952453613,129.936
run_20260504_193111_img_0214,1777903596.5603404,1777903597.1655083,0.6051678657531738,0.3025839328765869,130.279
run_20260504_193111_img_0215,1777903597.306494,1777903598.1841035,0.8776094913482666,0.4388047456741333,134.789
run_20260504_193111_img_0216,1777903598.3238223,1777903599.3775444,1.0537221431732178,0.5268610715866089,133.836
run_20260504_193111_img_0217,1777903599.514057,1777903600.6866019,1.1725449562072754,0.5862724781036377,130.813
run_20260504_193111_img_0218,1777903600.8256812,1777903601.770048,0.9443666934967041,0.47218334674835205,133.571
run_20260504_193111_img_0219,1777903601.9085915,1777903602.6550791,0.7464876174926758,0.3732438087463379,132.008
run_20260504_193111_img_0220,1777903602.7971668,1777903603.8450882,1.0479214191436768,0.5239607095718384,135.926
run_20260504_193111_img_0221,1777903603.9751644,1777903604.7139761,0.738811731338501,0.3694058656692505,125.047
run_20260504_193111_img_0222,1777903604.8484528,1777903606.032123,1.1836702823638916,0.5918351411819458,129.002
run_20260504_193111_img_0223,1777903606.1841385,1777903606.9547198,0.7705812454223633,0.38529062271118164,146.766
run_20260504_193111_img_0224,1777903607.1018488,1777903607.7313495,0.6295006275177002,0.3147503137588501,142.076
run_20260504_193111_img_0225,1777903607.8815815,1777903608.4059956,0.5244140625,0.26220703125,144.905
run_20260504_193111_img_0226,1777903608.5625622,1777903609.8967798,1.3342175483703613,0.6671087741851807,150.904
run_20260504_193111_img_0227,1777903610.0391562,1777903610.5542607,0.5151045322418213,0.25755226612091064,137.793
run_20260504_193111_img_0228,1777903610.7068465,1777903611.5462236,0.8393771648406982,0.4196885824203491,147.229
run_20260504_193111_img_0229,1777903611.6930444,1777903612.6201544,0.927109956741333,0.4635549783706665,141.755
run_20260504_193111_img_0230,1777903612.7661319,1777903613.8451834,1.0790514945983887,0.5395257472991943,141.091
run_20260504_193111_img_0231,1777903613.991271,1777903614.6506994,0.6594283580780029,0.32971417903900146,141.294
run_20260504_193111_img_0232,1777903614.7988691,1777903615.4138541,0.6149849891662598,0.3074924945831299,143.055
run_20260504_193111_img_0233,1777903615.5551457,1777903616.0940168,0.5388710498809814,0.2694355249404907,136.917
run_20260504_193111_img_0234,1777903616.2449539,1777903617.0326807,0.787726879119873,0.3938634395599365,145.623
run_20260504_193111_img_0235,1777903617.1844106,1777903617.9702578,0.7858471870422363,0.39292359352111816,146.395
run_20260504_193111_img_0236,1777903618.1213052,1777903619.0264199,0.9051146507263184,0.4525573253631592,145.736
run_20260504_193111_img_0237,1777903619.1824138,1777903619.9268062,0.7443923950195312,0.3721961975097656,149.661
run_20260504_193111_img_0238,1777903620.076511,1777903621.3192837,1.2427728176116943,0.6213864088058472,144.55
run_20260504_193111_img_0239,1777903621.4751651,1777903622.180239,0.7050738334655762,0.3525369167327881,150.432
run_20260504_193111_img_0240,1777903622.3088596,1777903622.8835585,0.5746989250183105,0.2873494625091553,123.662
run_20260504_193111_img_0241,1777903623.02664,1777903623.5269778,0.5003378391265869,0.25016891956329346,138.635
run_20260504_193111_img_0242,1777903623.6790807,1777903624.2343533,0.5552725791931152,0.2776362895965576,146.587
run_20260504_193111_img_0243,1777903624.3849552,1777903625.2198699,0.8349146842956543,0.41745734214782715,145.303
run_20260504_193111_img_0244,1777903625.3691432,1777903625.944095,0.5749516487121582,0.2874758243560791,143.949
run_20260504_193111_img_0245,1777903626.095065,1777903626.635701,0.5406358242034912,0.2703179121017456,145.552
run_20260504_193111_img_0246,1777903626.7843378,1777903627.4743605,0.6900227069854736,0.3450113534927368,143.373
run_20260504_193111_img_0247,1777903627.622967,1777903628.3449774,0.7220103740692139,0.36100518703460693,143.552
run_20260504_193111_img_0248,1777903628.496164,1777903629.390706,0.8945419788360596,0.4472709894180298,145.759
run_20260504_193111_img_0249,1777903629.5397828,1777903630.2213476,0.6815648078918457,0.34078240394592285,143.576
run_20260504_193111_img_0250,1777903630.3711045,1777903631.371433,1.000328540802002,0.500164270401001,144.159
run_20260504_193111_img_0251,1777903631.52175,1777903632.5111086,0.98935866355896,0.49467933177948,144.9
run_20260504_193111_img_0252,1777903632.6625853,1777903633.7811508,1.118565559387207,0.5592827796936035,145.552
run_20260504_193111_img_0253,1777903633.927023,1777903634.9597473,1.032724380493164,0.516362190246582,140.783
run_20260504_193111_img_0254,1777903635.1091926,1777903637.3774188,2.268226146697998,1.134113073348999,143.78
run_20260504_193111_img_0255,1777903637.5244703,1777903638.5088296,0.9843592643737793,0.49217963218688965,142.113
run_20260504_193111_img_0256,1777903638.6661184,1777903640.0519512,1.3858327865600586,0.6929163932800293,151.085
run_20260504_193111_img_0257,1777903640.2053924,1777903641.2857053,1.080312967300415,0.5401564836502075,147.693
run_20260504_193111_img_0258,1777903641.434509,1777903642.4397163,1.0052073001861572,0.5026036500930786,143.349
run_20260504_193111_img_0259,1777903642.592355,1777903643.5260644,0.9337093830108643,0.46685469150543213,147.229
run_20260504_193111_img_0260,1777903643.6647954,1777903644.5083663,0.8435709476470947,0.42178547382354736,134.556
run_20260504_193111_img_0261,1777903644.651265,1777903645.2940505,0.6427855491638184,0.3213927745819092,138.407
run_20260504_193111_img_0262,1777903645.4407978,1777903647.2369478,1.7961499691009521,0.8980749845504761,141.875
run_20260504_193111_img_0263,1777903647.383043,1777903649.4740798,2.091036796569824,1.045518398284912,140.949
run_20260504_193111_img_0264,1777903649.6247065,1777903651.1448908,1.5201842784881592,0.7600921392440796,145.318
