image_id,inference_start,inference_end,latency,queue_wait_ms
run_20260504_193111_img_0206,1777903585.7877786,1777903585.8311875,0.043408870697021484,0.0
run_20260504_193111_img_0207,1777903586.6338892,1777903586.6789916,0.04510235786437988,0.527
run_20260504_193111_img_0208,1777903588.0218337,1777903588.0654395,0.043605804443359375,0.533
run_20260504_193111_img_0209,1777903590.9416587,1777903590.9848788,0.04322004318237305,0.0
run_20260504_193111_img_0210,1777903592.243066,1777903592.2853084,0.04224228858947754,0.0
run_20260504_193111_img_0211,1777903594.5205388,1777903594.5647814,0.04424262046813965,0.604
run_20260504_193111_img_0212,1777903595.7067654,1777903595.7511404,0.044374942779541016,6.687
run_20260504_193111_img_0213,1777903596.9101365,1777903596.9590027,0.04886627197265625,0.0
run_20260504_193111_img_0214,1777903597.665352,1777903597.6910706,0.02571845054626465,0.0
run_20260504_193111_img_0215,1777903598.608091,1777903598.6312413,0.023150205612182617,0.0
run_20260504_193111_img_0216,1777903599.8120973,1777903599.8337731,0.021675825119018555,0.0
run_20260504_193111_img_0217,1777903600.8282483,1777903600.8471944,0.018946170806884766,0.0
run_20260504_193111_img_0218,1777903602.2751503,1777903602.2971516,0.022001266479492188,0.0
run_20260504_193111_img_0219,1777903603.1593037,1777903603.179258,0.019954442977905273,0.0
run_20260504_193111_img_0220,1777903604.1953866,1777903604.2192483,0.02386164665222168,0.0
run_20260504_193111_img_0221,1777903605.1800265,1777903605.2111938,0.031167268753051758,0.0
run_20260504_193111_img_0222,1777903606.1130931,1777903606.1559548,0.0428617000579834,0.0
run_20260504_193111_img_0223,1777903607.4524548,1777903607.4950128,0.04255795478820801,0.0
run_20260504_193111_img_0224,1777903608.2214212,1777903608.2590985,0.03767728805541992,0.0
run_20260504_193111_img_0225,1777903608.8989322,1777903608.9518254,0.05289316177368164,0.0
run_20260504_193111_img_0226,1777903610.3610787,1777903610.4052308,0.044152021408081055,0.0
run_20260504_193111_img_0227,1777903611.0271382,1777903611.0693269,0.04218864440917969,0.533
run_20260504_193111_img_0228,1777903612.0442398,1777903612.087292,0.04305219650268555,0.0
run_20260504_193111_img_0229,1777903612.9613638,1777903613.0028896,0.041525840759277344,0.0
run_20260504_193111_img_0230,1777903614.3363163,1777903614.379151,0.04283475875854492,0.0
run_20260504_193111_img_0231,1777903615.1515124,1777903615.1932585,0.04174613952636719,0.0
run_20260504_193111_img_0232,1777903615.9162185,1777903615.9590333,0.04281473159790039,0.533
run_20260504_193111_img_0233,1777903616.5810726,1777903616.6191177,0.03804516792297363,0.0
run_20260504_193111_img_0234,1777903617.5318956,1777903617.581053,0.04915738105773926,0.0
run_20260504_193111_img_0235,1777903618.3892763,1777903618.428932,0.03965568542480469,0.0
run_20260504_193111_img_0236,1777903619.4168408,1777903619.4612725,0.04443168640136719,0.0
run_20260504_193111_img_0237,1777903620.4188492,1777903620.461914,0.04306483268737793,0.0
run_20260504_193111_img_0238,1777903621.8243172,1777903621.86745,0.043132781982421875,0.0
run_20260504_193111_img_0239,1777903622.6841908,1777903622.7293046,0.04511380195617676,0.0
run_20260504_193111_img_0240,1777903623.3652406,1777903623.4069097,0.04166913032531738,0.529
run_20260504_193111_img_0241,1777903624.023391,1777903624.0652368,0.04184579849243164,0.0
run_20260504_193111_img_0242,1777903624.7404838,1777903624.7792163,0.03873252868652344,0.0
run_20260504_193111_img_0243,1777903625.7261355,1777903625.7634206,0.03728508949279785,1.005
run_20260504_193111_img_0244,1777903626.4290912,1777903626.4697473,0.040656089782714844,0.0
run_20260504_193111_img_0245,1777903627.1412213,1777903627.1827886,0.041567325592041016,0.0
run_20260504_193111_img_0246,1777903627.8338234,1777903627.880681,0.046857595443725586,0.0
run_20260504_193111_img_0247,1777903628.8255117,1777903628.8689306,0.04341888427734375,0.0
run_20260504_193111_img_0248,1777903629.8963299,1777903629.9431012,0.04677128791809082,0.0
run_20260504_193111_img_0249,1777903630.7195852,1777903630.765249,0.04566383361816406,0.368
run_20260504_193111_img_0250,1777903631.877079,1777903631.9188187,0.041739702224731445,0.0
run_20260504_193111_img_0251,1777903633.0095263,1777903633.0531366,0.043610334396362305,0.0
run_20260504_193111_img_0252,1777903634.233488,1777903634.2790163,0.04552817344665527,0.0
run_20260504_193111_img_0253,1777903635.3447363,1777903635.3927183,0.047981977462768555,0.0
run_20260504_193111_img_0254,1777903637.4590645,1777903637.8113008,0.352236270904541,0.0
run_20260504_193111_img_0255,1777903638.9871306,1777903639.4597023,0.47257161140441895,2.87
run_20260504_193111_img_0256,1777903640.5396316,1777903640.9954586,0.455826997756958,3.772
run_20260504_193111_img_0257,1777903641.7577114,1777903641.9936645,0.23595309257507324,2.202
run_20260504_193111_img_0258,1777903642.947049,1777903642.9689434,0.021894454956054688,0.0
run_20260504_193111_img_0259,1777903643.9683964,1777903643.9920864,0.023689985275268555,0.0
run_20260504_193111_img_0260,1777903645.012817,1777903645.033309,0.020492076873779297,0.416
run_20260504_193111_img_0261,1777903645.7751138,1777903645.8011622,0.02604842185974121,0.0
run_20260504_193111_img_0262,1777903647.4641047,1777903647.4952638,0.031159162521362305,0.0
run_20260504_193111_img_0263,1777903649.601929,1777903649.6461961,0.04426717758178711,0.0
